Date,Code,CompanyName,Sector17Code,Sector17CodeName,Sector33Code,Sector33CodeName,ScaleCategory,MarketCode,MarketCodeName,Sector17CodeNameEnglish,Sector33CodeNameEnglish,MarketCodeNameEnglish
2023-01-30,34770,フォーライフ,17,不動産,8050,不動産業,-,113,グロース,REAL ESTATE,Real Estate,Growth
2023-01-30,34780,森トラスト・ホテルリート投資法人,99,その他,9999,その他,-,109,その他,OTHER,Other,Others
2023-01-30,34790,ティーケーピー,17,不動産,8050,不動産業,-,113,グロース,REAL ESTATE,Real Estate,Growth
2023-01-30,34800,ジェイ・エス・ビー,17,不動産,8050,不動産業,TOPIX Small 2,111,プライム,REAL ESTATE,Real Estate,Prime
2023-01-30,34810,三菱地所物流リート投資法人,99,その他,9999,その他,-,109,その他,OTHER,Other,Others
2023-01-30,34820,ロードスターキャピタル,17,不動産,8050,不動産業,TOPIX Small 2,111,プライム,REAL ESTATE,Real Estate,Prime
2023-01-30,34830,翔栄,17,不動産,8050,不動産業,-,105,TOKYO PRO MARKET,REAL ESTATE,Real Estate,TOKYO PRO MARKET
2023-01-30,34840,テンポイノベーション,17,不動産,8050,不動産業,TOPIX Small 2,111,プライム,REAL ESTATE,Real Estate,Prime
2023-01-30,34860,グローバル・リンク・マネジメント,17,不動産,8050,不動産業,TOPIX Small 2,111,プライム,REAL ESTATE,Real Estate,Prime
2023-01-30,34870,ＣＲＥロジスティクスファンド投資法人,99,その他,9999,その他,-,109,その他,OTHER,Other,Others
2023-01-30,34880,ザイマックス・リート投資法人,99,その他,9999,その他,-,109,その他,OTHER,Other,Others
2023-01-30,34890,フェイスネットワーク,17,不動産,8050,不動産業,TOPIX Small 2,111,プライム,REAL ESTATE,Real Estate,Prime
2023-01-30,34900,アズ企画設計,17,不動産,8050,不動産業,-,112,スタンダード,REAL ESTATE,Real Estate,Standard
2023-01-30,34910,ＧＡｔｅｃｈｎｏｌｏｇｉｅｓ,17,不動産,8050,不動産業,-,113,グロース,REAL ESTATE,Real Estate,Growth
2023-01-30,34920,タカラレーベン不動産投資法人,99,その他,9999,その他,-,109,その他,OTHER,Other,Others
2023-01-30,34930,アドバンス・ロジスティクス投資法人,99,その他,9999,その他,-,109,その他,OTHER,Other,Others
